epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,5904.56,0.42674,0.40129,0.91272,0.96698,0.95569,0.94882,0.89558,0.35094,0.34046,0.81241,0.000781033,0.000781033,0.000781033
92,5973.09,0.43018,0.39844,0.91839,0.96719,0.94815,0.94989,0.90168,0.36189,0.34333,0.81508,0.000777367,0.000777367,0.000777367
93,6033.44,0.43054,0.38441,0.9223,0.97633,0.95226,0.95341,0.90017,0.38255,0.3467,0.83637,0.0007737,0.0007737,0.0007737
94,6094.39,0.42492,0.38722,0.92142,0.979,0.9505,0.95266,0.90632,0.34867,0.33577,0.82737,0.000770034,0.000770034,0.000770034
95,6153.83,0.41255,0.38483,0.91344,0.97816,0.94879,0.94689,0.90823,0.35145,0.33338,0.8137,0.000766368,0.000766368,0.000766368
96,6223.33,0.42606,0.38611,0.92849,0.97826,0.95615,0.95565,0.90796,0.33672,0.37131,0.81245,0.000762702,0.000762702,0.000762702
97,6287.38,0.41168,0.37352,0.92479,0.97889,0.95569,0.9569,0.90566,0.34466,0.34623,0.80328,0.000759035,0.000759035,0.000759035
98,6349.12,0.39216,0.37028,0.89605,0.97674,0.95569,0.95412,0.90375,0.34651,0.3299,0.8195,0.000755369,0.000755369,0.000755369
99,6409.68,0.42474,0.38996,0.911,0.97828,0.95386,0.95224,0.8965,0.35261,0.32744,0.81272,0.000751703,0.000751703,0.000751703
100,6479.58,0.40914,0.37336,0.91333,0.97256,0.94972,0.95482,0.90342,0.34751,0.32317,0.81546,0.000748036,0.000748036,0.000748036
101,6543.89,0.40989,0.37522,0.91482,0.97173,0.95522,0.95312,0.90678,0.35222,0.35115,0.80779,0.00074437,0.00074437,0.00074437
102,6612.58,0.38352,0.36748,0.90246,0.97358,0.95569,0.95214,0.90148,0.32815,0.31195,0.7982,0.000740704,0.000740704,0.000740704
103,6671.82,0.40299,0.36198,0.90696,0.98024,0.95569,0.94673,0.89245,0.33799,0.32001,0.80272,0.000737037,0.000737037,0.000737037
104,6735.49,0.42952,0.37969,0.92094,0.97901,0.95569,0.95049,0.89526,0.34075,0.33256,0.80584,0.000733371,0.000733371,0.000733371
105,6800.04,0.43414,0.39144,0.92758,0.97945,0.95525,0.95097,0.89889,0.33165,0.32008,0.80062,0.000729705,0.000729705,0.000729705
106,6868.29,0.40389,0.36223,0.9159,0.97782,0.95394,0.95068,0.89211,0.33093,0.32833,0.80785,0.000726038,0.000726038,0.000726038
